x (m)		I/Io
0		0.96723
1e-05		0.93686
2e-05		0.90779
3e-05		0.87915
4e-05		0.85123
5e-05		0.82546
6e-05		0.79936
7e-05		0.77414
8e-05		0.74915
9e-05		0.72492
0.0001		0.70253
0.00011		0.68124
0.00012		0.66014
0.00013		0.63985
0.00014		0.61972
0.00015		0.60061
0.00016		0.58103
0.00017		0.5628
0.00018		0.54533
0.00019		0.5275
0.0002		0.51114
0.00021		0.49421
0.00022		0.4789
0.00023		0.46372
0.00024		0.44869
0.00025		0.43467
0.00026		0.42104
0.00027		0.40759
0.00028		0.39474
0.00029		0.38216
0.0003		0.37043
0.00031		0.35887
0.00032		0.34785
0.00033		0.337
0.00034		0.32691
0.00035		0.31663
0.00036		0.30641
0.00037		0.29695
0.00038		0.28769
0.00039		0.2785
0.0004		0.26927
0.00041		0.26073
0.00042		0.25273
0.00043		0.24459
0.00044		0.23688
0.00045		0.22988
0.00046		0.2229
0.00047		0.21587
0.00048		0.20925
0.00049		0.2027
0.0005		0.19612
0.00051		0.18987
0.00052		0.18398
0.00053		0.1781
0.00054		0.1722
0.00055		0.16655
0.00056		0.16131
0.00057		0.1561
0.00058		0.15085
0.00059		0.14601
0.0006		0.1415
0.00061		0.13705
0.00062		0.13274
0.00063		0.12845
0.00064		0.12437
0.00065		0.1204
0.00066		0.11656
0.00067		0.1128
0.00068		0.10901
0.00069		0.10545
0.0007		0.10224
0.00071		0.09902
0.00072		0.09595
0.00073		0.09269
0.00074		0.08981
0.00075		0.08706
0.00076		0.08445
0.00077		0.08181
0.00078		0.07878
0.00079		0.07618
0.0008		0.07368
0.00081		0.07155
0.00082		0.06916
0.00083		0.06654
0.00084		0.06456
0.00085		0.06238
0.00086		0.06029
0.00087		0.0583
0.00088		0.05645
0.00089		0.05464
0.0009		0.05295
0.00091		0.05119
0.00092		0.04964
0.00093		0.04781
0.00094		0.04658
0.00095		0.04505
0.00096		0.04363
0.00097		0.04255
0.00098		0.0413
0.00099		0.03996
