x (m)		I/Io		mu_T
0		0.99678		0.767297
0.002		0.99356		0.767297
0.004		0.99021		0.78619
0.006		0.98739		0.652324
0.008		0.9842		1.384
0.01		0.98112		3.32504
0.012		0.97831		0.507663
0.014		0.97533		2.39473
0.016		0.97202		2.58447
0.018		0.9691		1.06795
0.02		0.96621		0.631003
0.022		0.96331		2.58447
0.024		0.96041		0.517379
0.026		0.95743		3.32504
0.028		0.95452		0.517379
0.03		0.9517		1.53405
0.032		0.94866		1.31868
0.034		0.9457		1.53405
0.036		0.94312		2.58447
0.038		0.94035		0.78619
0.04		0.93764		2.22659
0.042		0.93493		1.45525
0.044		0.93228		0.507663
0.046		0.92948		1.82446
0.048		0.92652		2.58447
0.05		0.92378		0.827483
0.052		0.92067		3.04436
0.054		0.91781		1.06795
0.056		0.91488		0.767297
0.058		0.91215		0.486882
0.06		0.90955		0.550845
0.062		0.90694		1.71758
0.064		0.90435		1.02936
0.066		0.90176		0.930041
0.068		0.89919		3.04436
0.07		0.89664		0.578374
0.072		0.89409		4.01866
0.074		0.89144		1.62123
0.076		0.88899		1.1554
0.078		0.88642		1.10979
0.08		0.88396		0.827483
0.082		0.88136		2.79876
0.084		0.87894		2.39473
0.086		0.87653		2.58447
0.088		0.87391		0.901433
0.09		0.87154		0.586201
0.092		0.8688		0.446128
0.094		0.86637		4.01866
0.096		0.86421		1.384
0.098		0.8618		0.78619
0.1		0.85945		0.544638
0.102		0.85723		1.45525
0.104		0.85501		0.827483
0.106		0.85296		1.62123
0.108		0.85051		0.494708
0.11		0.8482		1.384
0.112		0.8461		2.39473
0.114		0.84396		0.611571
0.116		0.84179		1.82446
0.118		0.83937		0.594298
0.12		0.83685		0.703063
0.122		0.83455		0.652324
0.124		0.83232		1.53405
0.126		0.82981		0.663929
0.128		0.82727		0.652324
0.13		0.82515		0.676344
0.132		0.82287		3.32504
0.134		0.82045		2.58447
0.136		0.81828		0.557053
0.138		0.81606		0.767297
0.14		0.81404		0.557053
0.142		0.81167		0.749754
0.144		0.80956		2.07707
0.146		0.80742		0.483103
0.148		0.80538		0.641259
0.15		0.8033		0.78619
0.152		0.80128		0.631003
0.154		0.79917		0.827483
0.156		0.79691		1.82446
0.158		0.79456		2.79876
0.16		0.79222		1.31868
0.162		0.79017		0.78619
0.164		0.78798		0.850423
0.166		0.78614		0.767297
0.168		0.78426		1.62123
0.17		0.78226		0.717638
0.172		0.78002		1.53405
0.174		0.77786		0.611571
0.176		0.77584		0.479595
0.178		0.77384		1.25958
0.18		0.77188		2.07707
0.182		0.77021		1.384
0.184		0.76819		2.22659
0.186		0.76624		2.22659
0.188		0.764		1.94375
0.19		0.76218		2.22659
0.192		0.76002		1.1554
0.194		0.75802		0.486882
0.196		0.75579		0.594298
0.198		0.75379		0.78619
0.2		0.75188		1.71758
0.202		0.75006		2.07707
0.204		0.74828		1.53405
0.206		0.74633		1.71758
0.208		0.74452		0.767297
0.21		0.74265		2.58447
0.212		0.74081		0.960539
0.214		0.73902		2.22659
0.216		0.73697		1.25958
0.218		0.73507		1.45525
0.22		0.73313		0.901433
0.222		0.73141		2.22659
0.224		0.72969		0.602664
0.226		0.72802		0.901433
0.228		0.72622		0.767297
0.23		0.72444		0.78619
0.232		0.72261		2.22659
0.234		0.72075		0.806161
0.236		0.71907		0.676344
0.238		0.71714		0.459893
0.24		0.7153		2.07707
0.242		0.71361		1.82446
0.244		0.71184		2.07707
0.246		0.71023		0.652324
0.248		0.70862		0.850423
0.25		0.70677		1.71758
0.252		0.70483		2.58447
0.254		0.70313		0.827483
0.256		0.70135		0.874983
0.258		0.69958		1.02936
0.26		0.69793		1.71758
0.262		0.69634		5.54624
0.264		0.69457		1.02936
0.266		0.6931		0.652324
0.268		0.69137		0.749754
0.27		0.6895		0.874983
0.272		0.68782		2.58447
0.274		0.68603		0.676344
0.276		0.68435		2.39473
0.278		0.68267		0.544638
0.28		0.68086		3.64621
0.282		0.67933		2.22659
0.284		0.67742		0.557053
0.286		0.67562		7.07921
0.288		0.67381		1.71758
0.29		0.67222		2.79876
0.292		0.67053		3.32504
0.294		0.66902		0.641259
0.296		0.66763		1.10979
0.298		0.66609		1.1554
0.3		0.66468		2.39473
0.302		0.663		0.78619
0.304		0.6616		0.527635
0.306		0.66011		6.24525
0.308		0.65864		0.78619
0.31		0.65709		2.79876
0.312		0.65572		9.28961
0.314		0.6541		1.06795
0.316		0.65245		1.06795
0.318		0.65075		1.25958
0.32		0.64906		1.10979
0.322		0.64746		1.53405
