Photon    Tot. w/  
Energy    Coherent 

1.100E-02 1.981E+01 
1.200E-02 1.534E+01 
1.300E-02 1.212E+01 
1.400E-02 9.744E+00 
1.500E-02 7.955E+00 
1.600E-02 6.583E+00 
1.700E-02 5.513E+00 
1.800E-02 4.667E+00 
1.900E-02 3.990E+00 
2.000E-02 3.442E+00 
2.100E-02 2.993E+00 
2.200E-02 2.623E+00 
2.300E-02 2.314E+00 
2.400E-02 2.055E+00 
2.500E-02 1.836E+00 
2.600E-02 1.649E+00 
2.700E-02 1.489E+00 
2.800E-02 1.351E+00 
2.900E-02 1.232E+00 
3.000E-02 1.128E+00 
3.100E-02 1.037E+00 
3.200E-02 9.576E-01 
3.300E-02 8.873E-01 
3.400E-02 8.250E-01 
3.500E-02 7.696E-01 
3.600E-02 7.202E-01 
3.700E-02 6.760E-01 
3.800E-02 6.364E-01 
3.900E-02 6.007E-01 
4.000E-02 5.684E-01 
4.100E-02 5.392E-01 
4.200E-02 5.128E-01 
4.300E-02 4.886E-01 
4.400E-02 4.667E-01 
4.500E-02 4.466E-01 
4.600E-02 4.281E-01 
4.700E-02 4.112E-01 
4.800E-02 3.957E-01 
4.900E-02 3.814E-01 
5.000E-02 3.681E-01 
5.100E-02 3.559E-01 
5.200E-02 3.446E-01 
5.300E-02 3.340E-01 
5.400E-02 3.242E-01 
5.500E-02 3.151E-01 
5.600E-02 3.066E-01 
5.700E-02 2.987E-01 
5.800E-02 2.913E-01 
5.900E-02 2.843E-01 
6.000E-02 2.778E-01 
6.100E-02 2.717E-01 
6.200E-02 2.659E-01 
6.300E-02 2.605E-01 
6.400E-02 2.554E-01 
6.500E-02 2.506E-01 
6.600E-02 2.460E-01 
6.700E-02 2.417E-01 
6.800E-02 2.376E-01 
6.900E-02 2.338E-01 
7.000E-02 2.301E-01 
7.100E-02 2.266E-01 
7.200E-02 2.233E-01 
7.300E-02 2.202E-01 
7.400E-02 2.172E-01 
7.500E-02 2.143E-01 
7.600E-02 2.116E-01 
7.700E-02 2.089E-01 
7.800E-02 2.064E-01 
7.900E-02 2.041E-01 
8.000E-02 2.018E-01 
8.100E-02 1.996E-01 
8.200E-02 1.975E-01 
8.300E-02 1.955E-01 
8.400E-02 1.935E-01 
8.500E-02 1.917E-01 
8.600E-02 1.899E-01 
8.700E-02 1.881E-01 
8.800E-02 1.865E-01 
8.900E-02 1.849E-01 
9.000E-02 1.833E-01 
9.100E-02 1.818E-01 
9.200E-02 1.804E-01 
9.300E-02 1.790E-01 
9.400E-02 1.777E-01 
9.500E-02 1.764E-01 
9.600E-02 1.751E-01 
9.700E-02 1.739E-01 
9.800E-02 1.727E-01 
9.900E-02 1.715E-01 
1.000E-01 1.704E-01 
1.010E-01 1.693E-01 
1.020E-01 1.683E-01 
1.030E-01 1.673E-01 
1.040E-01 1.663E-01 
1.050E-01 1.653E-01 
1.060E-01 1.644E-01 
1.070E-01 1.634E-01 
1.080E-01 1.625E-01 
1.090E-01 1.617E-01 
1.110E-01 1.600E-01 
